EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,fightURL,fighter1Url,fighter2Url
UFC Fight Night: Holloway vs. Allen ,Clay Guida  vs. Rafa Garcia ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dwayne Bess,Chris Lee 27 - 30.Sal D'amato 27 - 30.Ross Swanberg 27 - 30.,http://ufcstats.com/fight-details/bdbddbc00d07dc4b,http://ufcstats.com/fight-details/bdbddbc00d07dc4b,http://ufcstats.com/fighter-details/c47df9303d318c67,http://ufcstats.com/fighter-details/e132d47bd9efbbe0
UFC Fight Night: Holloway vs. Allen ,Bill Algeo  vs. TJ Brown ,W/L,Featherweight Bout,Submission ,2,1:40,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/b01e6e97d66681c5,http://ufcstats.com/fight-details/b01e6e97d66681c5,http://ufcstats.com/fighter-details/9abc648e76c4493a,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
UFC Fight Night: Holloway vs. Allen ,Brandon Royval  vs. Matheus Nicolau ,W/L,Flyweight Bout,KO/TKO ,1,2:09,3 Rnd (5-5-5),Nick Berens,Knee to Head At Distance ,http://ufcstats.com/fight-details/bbde45b2c766bb67,http://ufcstats.com/fight-details/bbde45b2c766bb67,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,http://ufcstats.com/fighter-details/1a31ef98efce7a79
UFC Fight Night: Holloway vs. Allen ,Zak Cummings  vs. Ed Herman ,W/L,Light Heavyweight Bout,KO/TKO ,3,4:13,3 Rnd (5-5-5),Dwayne Bess,Punches to Head At Distance ,http://ufcstats.com/fight-details/50e675146cda6e7c,http://ufcstats.com/fight-details/50e675146cda6e7c,http://ufcstats.com/fighter-details/4ba8d454f762005d,http://ufcstats.com/fighter-details/06f36cf4bd97ec77
UFC Fight Night: Holloway vs. Allen ,Gillian Robertson  vs. Piera Rodriguez ,W/L,Women's Strawweight Bout,Submission ,2,4:21,3 Rnd (5-5-5),Keith Peterson,Armbar From Mount ,http://ufcstats.com/fight-details/68c1b833ed8849a3,http://ufcstats.com/fight-details/68c1b833ed8849a3,http://ufcstats.com/fighter-details/38c7f72747f4f712,http://ufcstats.com/fighter-details/e375cb5caf4717b6
UFC Fight Night: Holloway vs. Allen ,Lando Vannata  vs. Daniel Zellhuber ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 27 - 29.David Huyette 28 - 29.Travis Buesking 27 - 30.,http://ufcstats.com/fight-details/cef255a992ba7af3,http://ufcstats.com/fight-details/cef255a992ba7af3,http://ufcstats.com/fighter-details/f9b200db02b488d9,http://ufcstats.com/fighter-details/4148802ae4a50768
UFC Fight Night: Holloway vs. Allen ,Bruna Brasil  vs. Denise Gomes ,L/W,Women's Strawweight Bout,KO/TKO ,2,2:42,3 Rnd (5-5-5),Dwayne Bess,Punches to Head On Ground ,http://ufcstats.com/fight-details/5de3a1bbcf705b58,http://ufcstats.com/fight-details/5de3a1bbcf705b58,http://ufcstats.com/fighter-details/7138a15258dabf20,http://ufcstats.com/fighter-details/cffb87059e645bd1
UFC Fight Night: Holloway vs. Allen ,Aaron Phillips  vs. Gaston Bolanos ,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Nick Berens,Travis Buesking 28 - 29.Ross Swanberg 27 - 30.Henry Guery 27 - 30.,http://ufcstats.com/fight-details/119559fd8124fee3,http://ufcstats.com/fight-details/119559fd8124fee3,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,http://ufcstats.com/fighter-details/96924b0019b3aff1
UFC Fight Night: Holloway vs. Allen ,Joselyne Edwards  vs. Lucie Pudilova ,W/L,Women's Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Dwayne Bess,Ross Swanberg 28 - 29.Henry Guery 29 - 28.David Huyette 28 - 29.,http://ufcstats.com/fight-details/8b2b2562884821a7,http://ufcstats.com/fight-details/8b2b2562884821a7,http://ufcstats.com/fighter-details/f9ab66e67240db7b,http://ufcstats.com/fighter-details/3cf66c62d9069f43
UFC 287: Pereira vs. Adesanya 2 ,Alex Pereira  vs. Israel Adesanya ,L/W,UFC Middleweight Title Bout,KO/TKO ,2,4:21,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punch to Head At Distance ,http://ufcstats.com/fight-details/fe143cb868adfded,http://ufcstats.com/fight-details/fe143cb868adfded,http://ufcstats.com/fighter-details/e5549c82bfb5582d,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
UFC 287: Pereira vs. Adesanya 2 ,Gilbert Burns  vs. Jorge Masvidal ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Dave Tirelli 27 - 30.Chris Lee 27 - 30.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/71ea7d7985dad804,http://ufcstats.com/fight-details/71ea7d7985dad804,http://ufcstats.com/fighter-details/23024fdfc966410a,http://ufcstats.com/fighter-details/47b9e0e7703a4868
UFC 287: Pereira vs. Adesanya 2 ,Rob Font  vs. Adrian Yanez ,W/L,Bantamweight Bout,KO/TKO ,1,2:57,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/678d27af287476f8,http://ufcstats.com/fight-details/678d27af287476f8,http://ufcstats.com/fighter-details/05339613bf8e9808,http://ufcstats.com/fighter-details/0232cabbc30a2372
UFC 287: Pereira vs. Adesanya 2 ,Kevin Holland  vs. Santiago Ponzinibbio ,W/L,Welterweight Bout,KO/TKO ,3,3:16,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance ,http://ufcstats.com/fight-details/3165b03ddc6d3b6e,http://ufcstats.com/fight-details/3165b03ddc6d3b6e,http://ufcstats.com/fighter-details/3a46b268013afede,http://ufcstats.com/fighter-details/6d1bffff14897645
UFC 287: Pereira vs. Adesanya 2 ,Raul Rosas Jr.  vs. Christian Rodriguez ,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 28 - 29.Sal D'amato 28 - 29.David Tirelli 28 - 29.,http://ufcstats.com/fight-details/2cb34fc074f7a9ae,http://ufcstats.com/fight-details/2cb34fc074f7a9ae,http://ufcstats.com/fighter-details/fe2babf95de24fb1,http://ufcstats.com/fighter-details/5ec591b78349ba7e
UFC 287: Pereira vs. Adesanya 2 ,Chris Curtis  vs. Kelvin Gastelum ,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 28 - 29.Derek Cleary 28 - 29.MichaelTate 27 - 30.,http://ufcstats.com/fight-details/bbc76ff9e1b1b142,http://ufcstats.com/fight-details/bbc76ff9e1b1b142,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,http://ufcstats.com/fighter-details/8c0580d4fff106c1
UFC 287: Pereira vs. Adesanya 2 ,Michelle Waterson-Gomez  vs. Luana Pinheiro ,L/W,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Larry Folsom,Eric Colon 29 - 28.Chris Lee 28 - 29.Eliseo Rodriguez 28 - 29.,http://ufcstats.com/fight-details/95349402616097cd,http://ufcstats.com/fight-details/95349402616097cd,http://ufcstats.com/fighter-details/eb04b9d31e938edb,http://ufcstats.com/fighter-details/a3a542074109b347
UFC 287: Pereira vs. Adesanya 2 ,Gerald Meerschaert  vs. Joe Pyfer ,L/W,Middleweight Bout,KO/TKO ,1,3:15,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground ,http://ufcstats.com/fight-details/28e3d939eb043664,http://ufcstats.com/fight-details/28e3d939eb043664,http://ufcstats.com/fighter-details/6ac9bc2953c47345,http://ufcstats.com/fighter-details/c1085e1701b13eca
UFC 287: Pereira vs. Adesanya 2 ,Cynthia Calvillo  vs. Loopy Godinez ,L/W,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Larry Folsom,Eliseo Rodriguez 28 - 29.Eric Colon 29 - 28.Dave Tirelli 27 - 30.,http://ufcstats.com/fight-details/780147f2ed2637d1,http://ufcstats.com/fight-details/780147f2ed2637d1,http://ufcstats.com/fighter-details/98215d037be5bcb7,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
UFC 287: Pereira vs. Adesanya 2 ,Ignacio Bahamondes  vs. Trey Ogden ,W/L,Catch Weight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Troy Wincapaw 27 - 30.Sal D'amato 27 - 30.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/d7022b6058dbb26b,http://ufcstats.com/fight-details/d7022b6058dbb26b,http://ufcstats.com/fighter-details/e4a47b07044ddd72,http://ufcstats.com/fighter-details/cfc3e7bb44685289
UFC 287: Pereira vs. Adesanya 2 ,Shayilan Nuerdanbieke  vs. Steve Garcia ,L/W,Featherweight Bout,KO/TKO ,2,0:36,3 Rnd (5-5-5),Larry Folsom,Punch to Body At Distance ,http://ufcstats.com/fight-details/0810cdbeb9dd4d02,http://ufcstats.com/fight-details/0810cdbeb9dd4d02,http://ufcstats.com/fighter-details/0a73acff6325c1e2,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889
UFC 287: Pereira vs. Adesanya 2 ,Jaqueline Amorim  vs. Sam Hughes ,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Eliseo Rodriguez 28 - 29.Sal D'amato 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/355a2f4090c0ca31,http://ufcstats.com/fight-details/355a2f4090c0ca31,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,http://ufcstats.com/fighter-details/e94085e821bd81de
UFC Fight Night: Vera vs. Sandhagen ,Marlon Vera  vs. Cory Sandhagen ,L/W,Bantamweight Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Joel Ojeda 48 - 47.Sal D'amato 45 - 50.Chris Lee 46 - 49.,http://ufcstats.com/fight-details/33fa6793a7f984ac,http://ufcstats.com/fight-details/33fa6793a7f984ac,http://ufcstats.com/fighter-details/7c7332319c14094c,http://ufcstats.com/fighter-details/65f09bacd3957381
UFC Fight Night: Vera vs. Sandhagen ,Holly Holm  vs. Yana Santos ,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Chris Lee 26 - 30.Sal D'amato 27 - 30.Jason Herzog 27 - 30.,http://ufcstats.com/fight-details/1c2d0db1c9eed052,http://ufcstats.com/fight-details/1c2d0db1c9eed052,http://ufcstats.com/fighter-details/634e2fb70bde3fd5,http://ufcstats.com/fighter-details/3143bf892608139a
UFC Fight Night: Vera vs. Sandhagen ,Nate Landwehr  vs. Austin Lingo ,W/L,Featherweight Bout,Submission ,2,4:11,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/bce8ece2ff26b4d4,http://ufcstats.com/fight-details/bce8ece2ff26b4d4,http://ufcstats.com/fighter-details/583ee11abddfc581,http://ufcstats.com/fighter-details/305d73ede05e31ad
UFC Fight Night: Vera vs. Sandhagen ,Andrea Lee  vs. Maycee Barber ,L/W,Women's Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Chris Lee 29 - 28.Frank Collazo 28 - 29.Dan Miragliotta 27 - 30.,http://ufcstats.com/fight-details/9433730f95d52fc8,http://ufcstats.com/fight-details/9433730f95d52fc8,http://ufcstats.com/fighter-details/05fa626cb33d15b8,http://ufcstats.com/fighter-details/6a740daf1b279661
UFC Fight Night: Vera vs. Sandhagen ,Chidi Njokuani  vs. Albert Duraev ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Chris Lee 29 - 28.Sal D'amato 28 - 29.Dan Miragliotta 28 - 29.,http://ufcstats.com/fight-details/2f382615155e32b9,http://ufcstats.com/fight-details/2f382615155e32b9,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef,http://ufcstats.com/fighter-details/6b7c7460855dbbb9
UFC Fight Night: Vera vs. Sandhagen ,Daniel Pineda  vs. Tucker Lutz ,W/L,Featherweight Bout,Submission ,2,2:50,3 Rnd (5-5-5),Jason Herzog,Guillotine Choke After Drop to Half Guard ,http://ufcstats.com/fight-details/c6cc6ae23cbf8a27,http://ufcstats.com/fight-details/c6cc6ae23cbf8a27,http://ufcstats.com/fighter-details/361d49960a196976,http://ufcstats.com/fighter-details/7832f2f62f04178f
UFC Fight Night: Vera vs. Sandhagen ,Steven Peterson  vs. Lucas Alexander ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Gino Garcia 27 - 30.Sal D'amato 27 - 30.Joel Ojeda 27 - 30.,http://ufcstats.com/fight-details/b9e037a45f8850fb,http://ufcstats.com/fight-details/b9e037a45f8850fb,http://ufcstats.com/fighter-details/b93c06d09d1c4ac0,http://ufcstats.com/fighter-details/11583163f45c7b31
UFC Fight Night: Vera vs. Sandhagen ,Trevin Giles  vs. Preston Parsons ,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Gino Garcia 28 - 29.Sal D'amato 29 - 28.Jacob Montalvo 28 - 29.,http://ufcstats.com/fight-details/07e39fd5f4f23270,http://ufcstats.com/fight-details/07e39fd5f4f23270,http://ufcstats.com/fighter-details/b27a1fcb56a3035a,http://ufcstats.com/fighter-details/9fe7af8b3fbe00a0
UFC Fight Night: Vera vs. Sandhagen ,CJ Vergara  vs. Daniel Lacerda ,W/L,Flyweight Bout,KO/TKO ,2,4:04,3 Rnd (5-5-5),Jason Herzog,Elbows to Head On Ground ,http://ufcstats.com/fight-details/16bd47ba50891833,http://ufcstats.com/fight-details/16bd47ba50891833,http://ufcstats.com/fighter-details/077e3ace32b72be9,http://ufcstats.com/fighter-details/31bb0772f21cabd8
UFC Fight Night: Vera vs. Sandhagen ,Victor Altamirano  vs. Vinicius Salvador ,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Gino Garcia 28 - 29.Sal D'amato 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/6f6fec9c78244174,http://ufcstats.com/fight-details/6f6fec9c78244174,http://ufcstats.com/fighter-details/dc7927cd622676a7,http://ufcstats.com/fighter-details/65cdf4ec31143d86
UFC 286: Edwards vs. Usman 3 ,Leon Edwards  vs. Kamaru Usman ,W/L,UFC Welterweight Title Bout,Decision - Majority ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge 46 - 48.Chris Lee 46 - 48.David Lethaby 47 - 47.,http://ufcstats.com/fight-details/c483ac06b1e33c3b,http://ufcstats.com/fight-details/c483ac06b1e33c3b,http://ufcstats.com/fighter-details/f1fac969a1d70b08,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e
